cluster,artist_name,title,tempo,loudness,duration
0,Britney Spears,Someday (I Will Understand),0,0,1.04444
0,Egberto Gismonti,Carta De Amor,0,0,1.2273
0,The Glencastle Sound,Medley: Bobby Stenhouse; Braes Of Gleniffer; Girl In A Blue Dress,0,0,3.5522
0,Bare Jr.,Snippet 15,0,0,3.99628
0,Simon Harris,You Make Me Feel So Good,0,0,6.08608
0,Wyclef Jean,Midnight Lovers,0,0,7.13098
0,Blingtones,La boîte à hein biloute,0,0,9.66485
0,Janet Jackson,Hold On Baby,0,0,10.34404
0,Michael Bloomfield,Narrative #2,0,0,10.65751
0,Ruben Cossani,Piroschka,0,0,10.68363
1,Toni Braxton,Best Friend,0,0,267.2322
1,Alexander O'Neal,Unbreak My Heart,0,0,267.25832
1,An Cafe,KORITSU HOSPITAL,0,0,267.31057
1,Alejandro Lerner,Todo A Pulmón,0,0,267.31057
1,Jape Squad,Bus Monkeys,0,0,267.33669
1,The Jeff Healey Band,See The Light,0,0,267.33669
1,Alice In Chains,Brother,0,0,267.36281
1,Fabri Fibra,Alla Fine Di Tutto Questo,0,0,267.36281
1,Andreas Dorau,Du Verstehst Mich Nicht,0,0,267.36281
1,Martin Sexton,Glory Bound (LP Version),0,0,267.36281
2,The Strokes,Meet Me In The Bathroom,0,0,177.18812
2,The Weegs,Petticoat,0,0,177.18812
2,Shawn Colvin,These Four Walls,0,0,177.18812
2,Kofi,I'm Just A Girl,0,0,177.21424
2,Roger Williams,Around The World,0,0,177.24036
2,Tantric,Walk Away,0,0,177.24036
2,Jimmy Hughes,Neighbor_ Neighbor,0,0,177.26649
2,Johnny Keating & All Stars,Impromptu,0,0,177.26649
2,Bézu,Frou-frou,0,0,177.26649
2,R. Carlos Nakai,Voyagers - Improvisation 12,0,0,177.31873
3,Daniel Kobialka,Singing The Night,0,0,404.21832
3,SNAP!,"Beauty Queen (12"" Spoon Club Mix)",0,0,404.37506
3,Les Ogres De Barback,Flamme & co,0,0,404.45342
3,Steve Smith,Blue Cave,0,0,404.45342
3,The Black Crowes,Girl From A Pawnshop,0,0,404.58404
3,Clockwise,the tales of King Solitude 1:3,0,0,404.68853
3,Yvette,Je me sens libre,0,0,405.002
3,John Digweed,Warung Beach,0,0,405.10649
3,TEN MADISON,Elementro,0,0,405.41995
3,Tam Tam Go!,Atrapados En La Red,0,0,405.41995
4,Basic Channel,Phylyps Trak II/II,0,0,793.62567
4,The Dreamtree Project,Bliss,0,0,798.1971
4,Wyclef Jean featuring will.i.am and Melissa Jiménez;Wyclef Jean featuring Machel Montano_ Daniela Mercury_ Black Alex_ and Djakout Mizik,Touch Your Button Carnival Jam,0,0,809.58649
4,Basic Channel,Radiance I,0,0,811.2322
4,Guitar Shorty,History Of Jody,0,0,817.37098
4,Saarbrücken Radio Symphony Orchestra,Phase (1972),0,0,827.66322
4,Seal,I'm Alive (BT & Sasha Mix),0,0,828.05506
4,Solomon,Concerto In A Minor_ Op 54: First Movement - Allegro Affettuoso - Andante Espressivo - Tempo I - Cadenza - Allegro Molto,0,0,834.24608
4,Nightwish,The Poet And The Pendulum,0,0,834.66404
4,Roger Reynolds,Binaural Presentation - Focus On A Beam Emptied Of Thinking_ Outward...,0,0,842.10893
